issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.",Claude access lost,Claude,This request needs human support because account access or permission changes require human support.,team_and_enterprise,escalated,product_issue,Escalated because account access or permission changes require human support.
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,"This request needs human support because score, certification, or recruiting decisions require human support.",general_help,escalated,product_issue,"Escalated because score, certification, or recruiting decisions require human support."
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.",Help,Visa,"This request needs human support because billing, refund, or payment requests require human support.",small_business,escalated,product_issue,"Escalated because billing, refund, or payment requests require human support."
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,"This request needs human support because billing, refund, or payment requests require human support.",community,escalated,product_issue,"Escalated because billing, refund, or payment requests require human support."
I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?,Give me my money,HackerRank,"This request needs human support because billing, refund, or payment requests require human support.",uncategorized,escalated,product_issue,"Escalated because billing, refund, or payment requests require human support."
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,This request needs human support because the corpus did not contain a confident match for this issue.,integrations,escalated,product_issue,Escalated because the corpus did not contain a confident match for this issue.
i can not able to see apply tab,"I need to practice, submissions not working",HackerRank,This request needs human support because the corpus did not contain a confident match for this issue.,general_help,escalated,bug,Escalated because the corpus did not contain a confident match for this issue.
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,This request needs human support because platform-wide outages or broad service failures require human support.,general_help,escalated,bug,Escalated because platform-wide outages or broad service failures require human support.
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,This request needs human support because the corpus did not contain a confident match for this issue.,general_help,escalated,bug,Escalated because the corpus did not contain a confident match for this issue.
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,"This request needs human support because score, certification, or recruiting decisions require human support.",general_help,escalated,product_issue,"Escalated because score, certification, or recruiting decisions require human support."
